members,2017,2018,2019,2020,2021,2022,5_year_diff
United States,22,22,22,22,22,22,0
Japan,9.68,9.68,8.56,8.564,8.564,8.033,-1.647
China,7.92,7.92,12.01,12.01,12.01,15.254,7.334
Germany,6.39,6.39,6.09,6.09,6.09,6.11,-0.28
France,4.86,4.86,4.43,4.427,4.427,4.318,-0.542
United Kingdom,4.46,4.46,4.57,4.57,4.57,4.375,-0.085
Brazil,3.82,3.82,2.95,2.98,2.98,2.013,-1.807
Italy,3.75,3.75,3.31,3.31,3.31,3.189,-0.561
Russia,3.09,3.09,2.41,2.27,2.27,1.886,-1.204
Canada,2.92,2.92,2.73,2.73,2.73,2.628,-0.292
Spain,2.44,2.44,2.15,1.37,1.37,2.134,-0.306
Australia,2.34,2.34,2.21,2.2,2.2,2.11,-0.23
South Korea,2.04,2.04,2.27,2.27,2.27,2.574,0.534
Netherlands,1.48,1.48,1.36,1.36,1.36,1.377,-0.103
Mexico,1.44,1.44,1.29,1.29,1.29,1.221,-0.219
Saudi Arabia,1.15,1.15,1.17,1.17,1.17,1.184,0.034
Switzerland,1.14,1.14,1.15,1.15,1.15,1.134,-0.006
Turkey,1.02,1.02,1.37,1.37,1.37,0.845,-0.175
Sweden,0.96,0.96,0.91,0.91,0.91,0.871,-0.089
Argentina,0.89,0.89,0.92,0.92,0.92,0.719,-0.171
Belgium,0.89,0.89,0.82,0.82,0.82,0.828,-0.062
Norway,0.85,0.85,0.75,0.75,0.75,0.679,-0.171
Poland,0.84,0.84,0.8,0.8,0.8,0.837,-0.003
India,0.74,0.74,0.83,0.83,0.83,1.044,0.304
Rest of the World,12.89,12.89,12.94,13.39,13.39,12.637,-0.253
