"ï..region","subregion","country","agency","calendar_year","location_type","amount"
"Africa","Africa","Africa","DPKO",2020,"REG",278475767.9
"Africa","Africa","Africa","FAO",2020,"REG",35480462.62
"Africa","Africa","Africa","ICAO",2020,"REG",9135141.17
"Africa","Africa","Africa","ILO",2020,"REG",24821254.19
"Africa","Africa","Africa","IMO",2020,"REG",823683.78
"Africa","Africa","Africa","IOM",2020,"REG",34490152.89
"Africa","Africa","Africa","ITU",2020,"REG",710732.73
"Africa","Africa","Africa","UN",2020,"REG",21262843.6
"Africa","Africa","Africa","UNDP",2020,"REG",27295765.88
"Africa","Africa","Africa","UNEP",2020,"REG",6073027.18
"Africa","Africa","Africa","UNESCO",2020,"REG",90308024
"Africa","Africa","Africa","UNFPA",2020,"REG",23312244.46
"Africa","Africa","Africa","UNHABITAT",2020,"REG",1753524.86
"Africa","Africa","Africa","UNICEF",2020,"REG",60134863.65
"Africa","Africa","Africa","UNIDO",2020,"REG",19325289.91
"Africa","Africa","Africa","UNODC",2020,"REG",2348476.34
"Africa","Africa","Africa","UNWTO",2020,"REG",2785.47
"Africa","Africa","Africa","UPU",2020,"REG",68536.81
"Africa","Africa","Africa","WHO",2020,"REG",155755582
"Africa","Eastern Africa","Burundi","FAO",2020,"COU",5758687.15
"Africa","Eastern Africa","Burundi","ICC",2020,"COU",3976641.72
"Africa","Eastern Africa","Burundi","ILO",2020,"COU",999121.25
"Africa","Eastern Africa","Burundi","IOM",2020,"COU",8962999.54
"Africa","Eastern Africa","Burundi","UN",2020,"COU",16148071.01
"Africa","Eastern Africa","Burundi","UNAIDS",2020,"COU",471443
"Africa","Eastern Africa","Burundi","UNCDF",2020,"COU",234899.13
"Africa","Eastern Africa","Burundi","UNDP",2020,"COU",54398277.33
"Africa","Eastern Africa","Burundi","UNEP",2020,"COU",42721.6
"Africa","Eastern Africa","Burundi","UNFPA",2020,"COU",5381794.93
"Africa","Eastern Africa","Burundi","UNHCR",2020,"COU",27795871.47
"Africa","Eastern Africa","Burundi","UNICEF",2020,"COU",38596724.65
"Africa","Eastern Africa","Burundi","UNIDO",2020,"COU",358389.15
"Africa","Eastern Africa","Burundi","UNOPS",2020,"COU",864739.72
