"ï..agency","rev_type","sub_type","calendar_year","amount"
"CTBTO","Assessed contributions","R01",2017,119158506
"CTBTO","Assessed contributions","R01",2018,128036236.5
"CTBTO","Assessed contributions","R01",2019,127055587
"CTBTO","Assessed contributions","R01",2020,131283366
"CTBTO","Revenue from other activities","R04",2017,2113268
"CTBTO","Revenue from other activities","R04",2018,3065500
"CTBTO","Revenue from other activities","R04",2019,3913076
"CTBTO","Revenue from other activities","R04A",2020,2132984
"CTBTO","Voluntary non-core (earmarked) contributions","R03",2017,6742469
"CTBTO","Voluntary non-core (earmarked) contributions","R03E",2018,1885080
"CTBTO","Voluntary non-core (earmarked) contributions","R03E",2019,5324221
"CTBTO","Voluntary non-core (earmarked) contributions","R03E",2020,2301052
"CTBTO","Voluntary non-core (earmarked) contributions","R03F",2018,1594987
"CTBTO","Voluntary non-core (earmarked) contributions","R03F",2019,1428532
"CTBTO","Voluntary non-core (earmarked) contributions","R03F",2020,1782323
"DPKO","Assessed contributions","R01",2010,7827988000
"DPKO","Assessed contributions","R01",2011,7573269000
"DPKO","Assessed contributions","R01",2012,7923213000
"DPKO","Assessed contributions","R01",2013,7257894000
"DPKO","Assessed contributions","R01",2014,7799929000
"DPKO","Assessed contributions","R01",2015,8503612000
"DPKO","Assessed contributions","R01",2016,8282141000
"DPKO","Assessed contributions","R01",2017,7853485000
"DPKO","Assessed contributions","R01",2018,7285707767
"DPKO","Assessed contributions","R01",2019,6998394001
"DPKO","Assessed contributions","R01",2020,6897950300
"DPKO","Revenue from other activities","R04",2010,102945000
"DPKO","Revenue from other activities","R04",2011,88387000
"DPKO","Revenue from other activities","R04",2012,32351000
"DPKO","Revenue from other activities","R04",2013,47045000
"DPKO","Revenue from other activities","R04",2014,54848000
"DPKO","Revenue from other activities","R04",2015,71850000
"DPKO","Revenue from other activities","R04",2016,51808000
"DPKO","Revenue from other activities","R04",2017,79091000
"DPKO","Revenue from other activities","R04",2018,96051000
"DPKO","Revenue from other activities","R04",2019,108462190.4
"DPKO","Revenue from other activities","R04A",2020,54399901.55
"DPKO","Revenue from other activities","R04B",2020,17558063.96
"DPKO","Revenue from other activities","R04C",2020,46307161.76
"DPKO","Voluntary non-core (earmarked) contributions","R03",2010,33155000
"DPKO","Voluntary non-core (earmarked) contributions","R03",2011,32289000
"DPKO","Voluntary non-core (earmarked) contributions","R03",2012,67893000
"DPKO","Voluntary non-core (earmarked) contributions","R03",2013,30274000
"DPKO","Voluntary non-core (earmarked) contributions","R03",2014,144673000
"DPKO","Voluntary non-core (earmarked) contributions","R03",2015,195385000
"DPKO","Voluntary non-core (earmarked) contributions","R03",2016,392407000
"DPKO","Voluntary non-core (earmarked) contributions","R03",2017,342939000
"DPKO","Voluntary non-core (earmarked) contributions","R03E",2018,24844005.6
"DPKO","Voluntary non-core (earmarked) contributions","R03E",2019,24388082.28
"DPKO","Voluntary non-core (earmarked) contributions","R03E",2020,23650854.87
"DPKO","Voluntary non-core (earmarked) contributions","R03F",2018,337695835.2
"DPKO","Voluntary non-core (earmarked) contributions","R03F",2019,331302850.1
"DPKO","Voluntary non-core (earmarked) contributions","R03F",2020,300626723.4
"FAO","Assessed contributions","R01",2010,507463000
"FAO","Assessed contributions","R01",2011,507463000
"FAO","Assessed contributions","R01",2012,511619509
"FAO","Assessed contributions","R01",2013,511619509
"FAO","Assessed contributions","R01",2014,511974000
"FAO","Assessed contributions","R01",2015,496622670.7
"FAO","Assessed contributions","R01",2016,487423968.3
"FAO","Assessed contributions","R01",2017,473949640.3
"FAO","Assessed contributions","R01",2018,498851849.5
"FAO","Assessed contributions","R01",2019,488822877.3
"FAO","Assessed contributions","R01",2020,484573828.8
"FAO","Revenue from other activities","R04",2010,27349000
"FAO","Revenue from other activities","R04",2011,78001000
"FAO","Revenue from other activities","R04",2012,47142000
"FAO","Revenue from other activities","R04",2013,78512000
"FAO","Revenue from other activities","R04",2014,46392000
"FAO","Revenue from other activities","R04",2015,10288000
"FAO","Revenue from other activities","R04",2016,38613000
"FAO","Revenue from other activities","R04",2017,38500213
"FAO","Revenue from other activities","R04",2018,10802345.82
"FAO","Revenue from other activities","R04",2019,9970306.57
"FAO","Revenue from other activities","R04B",2020,1539253.57
"FAO","Revenue from other activities","R04C",2020,8294715.42
"FAO","Voluntary core (un-earmarked) contributions","R02",2012,0
"FAO","Voluntary core (un-earmarked) contributions","R02",2014,0
"FAO","Voluntary core (un-earmarked) contributions","R02A",2018,4745534.7
"FAO","Voluntary core (un-earmarked) contributions","R02A",2019,1180815.9
"FAO","Voluntary core (un-earmarked) contributions","R02A",2020,463414.9
"FAO","Voluntary core (un-earmarked) contributions","R02B",2018,50724270.32
"FAO","Voluntary core (un-earmarked) contributions","R02B",2019,48154913.01
"FAO","Voluntary core (un-earmarked) contributions","R02B",2020,51963445.96
"FAO","Voluntary non-core (earmarked) contributions","R03",2010,891302293
"FAO","Voluntary non-core (earmarked) contributions","R03",2011,899150947.1
"FAO","Voluntary non-core (earmarked) contributions","R03",2012,774507947
"FAO","Voluntary non-core (earmarked) contributions","R03",2013,743557586.8
"FAO","Voluntary non-core (earmarked) contributions","R03",2014,805308210.7
"FAO","Voluntary non-core (earmarked) contributions","R03",2015,743648142.6
"FAO","Voluntary non-core (earmarked) contributions","R03",2016,770409171
"FAO","Voluntary non-core (earmarked) contributions","R03",2017,751094912.4
