"ï..rev_type","calendar_year","agency","sub_type","sub_type_name","amount"
"Assessed contributions",2010,"DPKO","R01","Assessed contributions",7827988000
"Assessed contributions",2010,"FAO","R01","Assessed contributions",507463000
"Assessed contributions",2010,"IAEA","R01","Assessed contributions",392158607.8
"Assessed contributions",2010,"ICAO","R01","Assessed contributions",77483275
"Assessed contributions",2010,"ILO","R01","Assessed contributions",408828555.4
"Assessed contributions",2010,"IMO","R01","Assessed contributions",42821762.69
"Assessed contributions",2010,"IOM","R01","Assessed contributions",38154427
"Assessed contributions",2010,"ITC","R01","Assessed contributions",34588000
"Assessed contributions",2010,"ITU","R01","Assessed contributions",135355860.5
"Assessed contributions",2010,"PAHO","R01","Assessed contributions",98325000
"Assessed contributions",2010,"UN","R01","Assessed contributions",2166522053
"Assessed contributions",2010,"UNEP","R01","Assessed contributions",220982969
"Assessed contributions",2010,"UNESCO","R01","Assessed contributions",377289657
"Assessed contributions",2010,"UNHCR","R01","Assessed contributions",39640800
"Assessed contributions",2010,"UNIDO","R01","Assessed contributions",102896934.8
"Assessed contributions",2010,"UNITAR","R01","Assessed contributions",0
"Assessed contributions",2010,"UNWTO","R01","Assessed contributions",15982977.39
"Assessed contributions",2010,"UPU","R01","Assessed contributions",37448157.73
"Assessed contributions",2010,"WHO","R01","Assessed contributions",472557200
"Assessed contributions",2010,"WIPO","R01","Assessed contributions",18296448
"Assessed contributions",2010,"WMO","R01","Assessed contributions",65680557.48
"Assessed contributions",2010,"WTO","R01","Assessed contributions",202102144
"Assessed contributions",2011,"DPKO","R01","Assessed contributions",7573269000
"Assessed contributions",2011,"FAO","R01","Assessed contributions",507463000
"Assessed contributions",2011,"IAEA","R01","Assessed contributions",402748848
"Assessed contributions",2011,"ICAO","R01","Assessed contributions",79081361.03
"Assessed contributions",2011,"ILO","R01","Assessed contributions",411423080.6
"Assessed contributions",2011,"IMO","R01","Assessed contributions",45229577.69
"Assessed contributions",2011,"IOM","R01","Assessed contributions",41428265
"Assessed contributions",2011,"ITC","R01","Assessed contributions",38235000
"Assessed contributions",2011,"ITU","R01","Assessed contributions",135603039
"Assessed contributions",2011,"PAHO","R01","Assessed contributions",98325000
"Assessed contributions",2011,"UN","R01","Assessed contributions",2414656987
"Assessed contributions",2011,"UNEP","R01","Assessed contributions",226843565
"Assessed contributions",2011,"UNESCO","R01","Assessed contributions",356474652
"Assessed contributions",2011,"UNHCR","R01","Assessed contributions",44058600
"Assessed contributions",2011,"UNIDO","R01","Assessed contributions",101168752.4
"Assessed contributions",2011,"UNITAR","R01","Assessed contributions",0
"Assessed contributions",2011,"UNWTO","R01","Assessed contributions",16107432.87
"Assessed contributions",2011,"UPU","R01","Assessed contributions",38366698.41
"Assessed contributions",2011,"WHO","R01","Assessed contributions",472557200
"Assessed contributions",2011,"WIPO","R01","Assessed contributions",18412680
"Assessed contributions",2011,"WMO","R01","Assessed contributions",66084590
