"government_donor","entity","rev_type","calendar_year","amount"
"United States of America (the)","WFP","Voluntary non-core (earmarked) contributions",2020,3650145477
"United States of America (the)","WFP","Voluntary core (un-earmarked) contributions",2020,10000000
"United States of America (the)","UNHCR","Voluntary non-core (earmarked) contributions",2020,1973251228
"United States of America (the)","DPKO","Assessed Contributions",2020,1924579646
"United States of America (the)","UNICEF","Voluntary non-core (earmarked) contributions",2020,860106724.86
"United States of America (the)","UNICEF","Voluntary core (un-earmarked) contributions",2020,134000000
"United States of America (the)","UN","Assessed Contributions",2020,678613826
"United States of America (the)","UN","Voluntary non-core (earmarked) contributions",2020,119375814.99
"United States of America (the)","UN","Voluntary core (un-earmarked) contributions",2020,22978730.69
"United States of America (the)","IOM","Voluntary non-core (earmarked) contributions",2020,615010764
"United States of America (the)","IOM","Assessed Contributions",2020,12611309.74
"United States of America (the)","IOM","Voluntary core (un-earmarked) contributions",2020,2500000
"United States of America (the)","FAO","Voluntary non-core (earmarked) contributions",2020,178178771.4
"United States of America (the)","FAO","Assessed Contributions",2020,109516535.1
"United States of America (the)","FAO","Voluntary core (un-earmarked) contributions",2020,101951.28
"United States of America (the)","IAEA","Voluntary non-core (earmarked) contributions",2020,138449525.2
"United States of America (the)","IAEA","Assessed Contributions",2020,117327739.9
"United States of America (the)","WHO","Assessed Contributions",2020,118497832
"United States of America (the)","WHO","Voluntary non-core (earmarked) contributions",2020,113795658
"United States of America (the)","UNDP","Voluntary non-core (earmarked) contributions",2020,116990755.82
"United States of America (the)","UNDP","Voluntary core (un-earmarked) contributions",2020,81810035
"United States of America (the)","ILO","Assessed Contributions",2020,89200410.26
"United States of America (the)","ILO","Voluntary non-core (earmarked) contributions",2020,30672737.09
"United States of America (the)","UNAIDS","Voluntary non-core (earmarked) contributions",2020,55957911
"United States of America (the)","UNAIDS","Voluntary core (un-earmarked) contributions",2020,45000000
"United States of America (the)","UNODC","Voluntary non-core (earmarked) contributions",2020,92861254
"United States of America (the)","UNODC","Voluntary core (un-earmarked) contributions",2020,671127
"United States of America (the)","PAHO","Assessed Contributions",2020,65780540
"United States of America (the)","PAHO","Voluntary non-core (earmarked) contributions",2020,18487800
"United States of America (the)","UNEP","Assessed Contributions",2020,40360411
"United States of America (the)","UNEP","Voluntary non-core (earmarked) contributions",2020,8319798.93
"United States of America (the)","UNEP","Voluntary core (un-earmarked) contributions",2020,8099431
"United States of America (the)","IFAD","Voluntary core (un-earmarked) contributions",2020,35919000
"United States of America (the)","IFAD","Voluntary non-core (earmarked) contributions",2020,160000
"United States of America (the)","CTBTO","Assessed Contributions",2020,30551466.77
"United States of America (the)","WTO","Assessed Contributions",2020,25884377.12
"United States of America (the)","WTO","Voluntary core (un-earmarked) contributions",2020,1245314.01
"United States of America (the)","OPCW","Assessed Contributions",2020,16097241.57
"United States of America (the)","OPCW","Voluntary non-core (earmarked) contributions",2020,4712609.77
"United States of America (the)","WMO","Assessed Contributions",2020,16660156.14
"United States of America (the)","WMO","Voluntary non-core (earmarked) contributions",2020,2738391.84
"United States of America (the)","UNWOMEN","Voluntary core (un-earmarked) contributions",2020,11275000
"United States of America (the)","UNWOMEN","Voluntary non-core (earmarked) contributions",2020,7334278.76
"United States of America (the)","ICAO","Assessed Contributions",2020,16369421.75
"United States of America (the)","ICAO","Voluntary non-core (earmarked) contributions",2020,2061897.5
"United States of America (the)","ITU","Assessed Contributions",2020,10804077.01
"United States of America (the)","IARC","Voluntary non-core (earmarked) contributions",2020,4287391.41
"United States of America (the)","IARC","Assessed Contributions",2020,2039014.72
"United States of America (the)","UNFCCC","Assessed Contributions",2020,6280501
"United States of America (the)","UNIDO","Voluntary non-core (earmarked) contributions",2020,2806560.3
"United States of America (the)","UPU","Assessed Contributions",2020,2604756.51
