"ï..donor","entity","calendar_year","amount"
"European Union","UNICEF",2020,696071615.2
"European Union","UNDP",2020,692572466.69
"European Union","UNHCR",2020,687893893.28
"European Union","IOM",2020,567879336.22
"European Union","WFP",2020,538294385.33
"European Union","WHO",2020,245208081
"European Union","FAO",2020,192136073.64
"European Union","UNRWA",2020,144918020.62
"European Union","UNWOMEN",2020,74658414.16
"European Union","UNFPA",2020,49857753.41
"European Union","ITC",2020,43070078
"European Union","ILO",2020,42958476.61
"European Union","IFAD",2020,41667194.46
"European Union","UNODC",2020,40321836
"European Union","UNHABITAT",2020,39144768.78
"European Union","UNEP",2020,37573956.08
"European Union","UNIDO",2020,30493188.89
"European Union","UNCDF",2020,22776022.9
"European Union","UN-DCO",2020,21279937.19
"European Union","UN-OHCHR",2020,19614698.71
"European Union","UN-OCHA",2020,14333472.67
"European Union","UNESCO",2020,10832293
"European Union","UN",2020,10575379.22
"European Union","PAHO",2020,6905000
"European Union","UN-UNDRR",2020,3749255.73
"European Union","IMO",2020,3408351.84
"European Union","UNFCCC",2020,3091685.61
"European Union","UN-ECE",2020,2537356.23
"European Union","UN-UNCTAD",2020,2511937.51
"European Union","IARC",2020,2339774.23
"European Union","IAEA",2020,2324851.53
"European Union","CTBTO",2020,1898010
"European Union","UN-ECA",2020,1868946.7
"European Union","WTO",2020,1599606.98
"European Union","UN-DESA",2020,1161923.48
"European Union","UN-OCT",2020,1141189.1
"European Union","ICC",2020,1088492.02
"European Union","ICAO",2020,1007047.73
"European Union","UNU",2020,744601
"European Union","ITLOS",2020,113496.93
"European Union","UNITAR",2020,79437.17
"European Union","UN-UNIDIR",2020,40189.68
"European Union","UNSSC",2020,2000
"European Union","UNWTO",2020,547.87
"European Union","UN-ESCAP",2020,-53.27
"European Union","UN-ECLAC",2020,-1399.51
"European Union","UN-DPPA",2020,-241513.75
"European Union","OPCW",2020,-288388.43
"European Union","UN-DMSPC",2020,-342425.99
"European Union","WMO",2020,-383918.46
"The Global Fund","UNDP",2020,979825516.8
"The Global Fund","UNICEF",2020,87634927.56
"The Global Fund","WHO",2020,17745189
"The Global Fund","IOM",2020,12122120.07
"The Global Fund","UNITAID",2020,11851000
"The Global Fund","PAHO",2020,634000
"The Global Fund","UNAIDS",2020,300000
"UN OCHA","WFP",2020,243550088.46
"UN OCHA","UNICEF",2020,210825943.9
"UN OCHA","IOM",2020,122493676.68
"UN OCHA","WHO",2020,108765966
"UN OCHA","UNHCR",2020,107116868.5
"UN OCHA","UNFPA",2020,65767661
"UN OCHA","FAO",2020,65005369.15
"UN OCHA","UNRWA",2020,31941586.77
"UN OCHA","UNDP",2020,24814769.81
"UN OCHA","UNHABITAT",2020,2361520.82
"UN OCHA","UNWOMEN",2020,2232442
"UN OCHA","UNESCO",2020,900000
"UN OCHA","UNSSC",2020,222675.9
"UN OCHA","UN-OHCHR",2020,-54525.78
"Multi Donor Trust Funds","UNDP",2020,482321475.2
"Multi Donor Trust Funds","UN-OCHA",2020,283559186.22
"Multi Donor Trust Funds","UNWOMEN",2020,46734364.39
"Multi Donor Trust Funds","IOM",2020,29406958.48
"Multi Donor Trust Funds","UN-OHCHR",2020,13232750.29
"Multi Donor Trust Funds","ILO",2020,12290992.1
"Multi Donor Trust Funds","UN",2020,9289372.92
"Multi Donor Trust Funds","UNCDF",2020,9039654.97
"Multi Donor Trust Funds","UNODC",2020,7580247
"Multi Donor Trust Funds","UNEP",2020,4990598.66
"Multi Donor Trust Funds","UNHABITAT",2020,3782716.28
"Multi Donor Trust Funds","UN-DOS",2020,2023191.27
"Multi Donor Trust Funds","UN-ECE",2020,1532761
"Multi Donor Trust Funds","UNITAR",2020,1317008.82
"Multi Donor Trust Funds","UN-DPO",2020,1105743.04
"Multi Donor Trust Funds","UNIDO",2020,880465.94
"Multi Donor Trust Funds","UN-ECA",2020,745082
"Multi Donor Trust Funds","UNAIDS",2020,665958
"Multi Donor Trust Funds","UN-ESCWA",2020,584834
"Multi Donor Trust Funds","UN-DESA",2020,98440
"Multi Donor Trust Funds","UN-DPPA",2020,97947.37
"Multi Donor Trust Funds","UN-ESCAP",2020,38511.41
"World Bank Group","UNICEF",2020,221145385.6
"World Bank Group","UNEP",2020,182156613.2
"World Bank Group","FAO",2020,115797100.87
"World Bank Group","WHO",2020,94192671
"World Bank Group","UNDP",2020,64620250.03
"World Bank Group","UNESCO",2020,39336262
"World Bank Group","UNFPA",2020,23090446.21
"World Bank Group","WMO",2020,4856172.14
"World Bank Group","WFP",2020,3403547.08
"World Bank Group","IFAD",2020,1906000
"World Bank Group","UN-UNDRR",2020,1666160
"World Bank Group","ILO",2020,1298685.8
"World Bank Group","UN-ECA",2020,799690.16
"World Bank Group","UN-OHCHR",2020,641581
"World Bank Group","ITC",2020,622596
"World Bank Group","UNHCR",2020,607000
"World Bank Group","UN-UNCTAD",2020,477690.25
"World Bank Group","IOM",2020,469500
"World Bank Group","UN-ECLAC",2020,196679.4
"World Bank Group","UNITAR",2020,151360.53
"World Bank Group","UN-DESA",2020,51731
"World Bank Group","UN-DOS",2020,38098
"World Bank Group","UN-ESCWA",2020,25000
"World Bank Group","UNWTO",2020,24783.47
"World Bank Group","UNSSC",2020,970.4
"World Bank Group","UNCDF",2020,-526.37
"World Bank Group","UNHABITAT",2020,-65289.78
"Private Donors","UNHCR",2020,543279338.98
"Private Donors","ITU",2020,18627527.74
"Private Donors","ILO",2020,10265679.22
"Private Donors","UNESCO",2020,7294751
"Private Donors","UNRWA",2020,5125051.68
"Private Donors","UN-DCO",2020,984457.83
"Private Donors","UN-OHCHR",2020,847793.54
"Private Donors","UNFPA",2020,517555.15
"Private Donors","IAEA",2020,419865.03
"Private Donors","UN-DMSPC",2020,345281.16
"Private Donors","UN-OCHA",2020,239653.03
"Private Donors","UN-UNDRR",2020,237527.27
"Private Donors","UN-DESA",2020,175555.04
"Private Donors","WFP",2020,160776.88
"Private Donors","UN-UNCTAD",2020,126359.12
"Private Donors","IARC",2020,87142.33
"Private Donors","UNU",2020,53689
"Private Donors","ICC",2020,18063.8
"Private Donors","UN-UNIDIR",2020,11737.09
"Private Donors","PAHO",2020,3000
"Private Donors","UNODC",2020,463
"Private Donors","UN-DOS",2020,21.74
"Private Donors","UN-DSS",2020,0
"Private Donors","UN-DGC",2020,-1333.25
"Private Donors","UN-ESCAP",2020,-5617.91
"Private Donors","UNHABITAT",2020,-18049.7
"Private Donors","UN-ECE",2020,-64712.12
"Private Donors","UN-ECA",2020,-806592.93
"Private Donors","UN",2020,-942758.92
"UNDP Administered Trust Funds","UNICEF",2020,137103964.71
"UNDP Administered Trust Funds","UNFPA",2020,108901386.93
"UNDP Administered Trust Funds","WHO",2020,61340219
"UNDP Administered Trust Funds","FAO",2020,55180548.44
"UNDP Administered Trust Funds","WFP",2020,35883606.15
"UNDP Administered Trust Funds","UNDP",2020,30970616.44
"UNDP Administered Trust Funds","UNESCO",2020,16345614
"UNDP Administered Trust Funds","UNWOMEN",2020,10464924
"UNDP Administered Trust Funds","UN-DCO",2020,10291362
"UNDP Administered Trust Funds","UNV",2020,8960289.78
"UNDP Administered Trust Funds","PAHO",2020,7147600
"UNDP Administered Trust Funds","UNHABITAT",2020,5379763.35
"UNDP Administered Trust Funds","UNCDF",2020,4234762.16
"UNDP Administered Trust Funds","UNODC",2020,3304132
"UNDP Administered Trust Funds","UNEP",2020,2837341.21
"UNDP Administered Trust Funds","UNITAR",2020,2303034.88
"UNDP Administered Trust Funds","IOM",2020,2123389.81
"UNDP Administered Trust Funds","UNAIDS",2020,2047467
"UNDP Administered Trust Funds","UN-ECLAC",2020,1575249.84
"UNDP Administered Trust Funds","UN-DPO",2020,1218153.57
"UNDP Administered Trust Funds","ITC",2020,1212371
"UNDP Administered Trust Funds","UN",2020,1093613
"UNDP Administered Trust Funds","ILO",2020,717461.26
"UNDP Administered Trust Funds","UN-OHCHR",2020,690810.65
"UNDP Administered Trust Funds","IMO",2020,525000.53
"UNDP Administered Trust Funds","UN-ECA",2020,518140
"UNDP Administered Trust Funds","UN-DPPA",2020,328410
"UNDP Administered Trust Funds","UNHCR",2020,302410.31
"UNDP Administered Trust Funds","UNRWA",2020,252913.96
"UNDP Administered Trust Funds","IFAD",2020,247000
"UNDP Administered Trust Funds","UNSSC",2020,158424
"UNDP Administered Trust Funds","ITU",2020,112773.5
"UNDP Administered Trust Funds","UN-UNCTAD",2020,90088.14
"UNDP Administered Trust Funds","UNWTO",2020,85285.04
"UNDP Administered Trust Funds","UN-DOS",2020,16427.44
"UNDP Administered Trust Funds","ICAO",2020,173.71
"UNDP Administered Trust Funds","UN-OCT",2020,-1388.26
"UNDP Administered Trust Funds","UN-DESA",2020,-16963.91
"UNDP Administered Trust Funds","UNU",2020,-65000
"UNDP Administered Trust Funds","UNIDO",2020,-3076790.42
"Bill & Melinda Gates Foundation","WHO",2020,376823375
"Bill & Melinda Gates Foundation","FAO",2020,12951865.84
"Bill & Melinda Gates Foundation","UNITAID",2020,10000000
"Bill & Melinda Gates Foundation","WFP",2020,7802993.38
"Bill & Melinda Gates Foundation","UNDP",2020,7329215.93
"Bill & Melinda Gates Foundation","UNFPA",2020,6600000
"Bill & Melinda Gates Foundation","UNWOMEN",2020,4030482.18
"Bill & Melinda Gates Foundation","UNCDF",2020,3826020.55
"Bill & Melinda Gates Foundation","UNHABITAT",2020,2473238.79
