"year","agency","rev_type","sub_type","amount"
2010,"DPKO","Assessed contributions","R01",7827988000
2010,"DPKO","Revenue from other activities","R04",102945000
2010,"DPKO","Voluntary non-core (earmarked) contributions","R03",33155000
2010,"FAO","Assessed contributions","R01",507463000
2010,"FAO","Revenue from other activities","R04",27349000
2010,"FAO","Voluntary non-core (earmarked) contributions","R03",891302293
2010,"IAEA","Assessed contributions","R01",392158607.8
2010,"IAEA","Revenue from other activities","R04",4276304.72
2010,"IAEA","Voluntary non-core (earmarked) contributions","R03",201752551.6
2010,"ICAO","Assessed contributions","R01",77483275
2010,"ICAO","Revenue from other activities","R04",16970351
2010,"ICAO","Voluntary non-core (earmarked) contributions","R03",128823470
2010,"IFAD","Voluntary core (un-earmarked) contributions","R02",354457000
2010,"IFAD","Voluntary non-core (earmarked) contributions","R03",80241000
2010,"ILO","Assessed contributions","R01",408828555.4
2010,"ILO","Revenue from other activities","R04",16500000
2010,"ILO","Voluntary non-core (earmarked) contributions","R03",248421000
2010,"IMO","Assessed contributions","R01",42821762.69
2010,"IMO","Revenue from other activities","R04",21017203.84
2010,"IMO","Voluntary non-core (earmarked) contributions","R03",10537559.48
2010,"IOM","Assessed contributions","R01",38154427
2010,"IOM","Revenue from other activities","R04",61359439
2010,"IOM","Voluntary core (un-earmarked) contributions","R02",6489949
2010,"IOM","Voluntary non-core (earmarked) contributions","R03",1050965901
2010,"ITC","Assessed contributions","R01",34588000
2010,"ITC","Revenue from other activities","R04",1713000
2010,"ITC","Voluntary non-core (earmarked) contributions","R03",39985000
2010,"ITU","Assessed contributions","R01",135355860.5
2010,"ITU","Revenue from other activities","R04",26490943.36
2010,"ITU","Voluntary non-core (earmarked) contributions","R03",11635068.8
2010,"PAHO","Assessed contributions","R01",98325000
2010,"PAHO","Revenue from other activities","R04",10864405
2010,"PAHO","Voluntary non-core (earmarked) contributions","R03",740950528
2010,"UN","Assessed contributions","R01",2166522053
2010,"UN","Revenue from other activities","R04",154477000
2010,"UN","Voluntary non-core (earmarked) contributions","R03",1361094000
2010,"UNAIDS","Revenue from other activities","R04",4794000
2010,"UNAIDS","Voluntary core (un-earmarked) contributions","R02",227446000
2010,"UNAIDS","Voluntary non-core (earmarked) contributions","R03",33778000
2010,"UNDP","Revenue from other activities","R04",463042000
2010,"UNDP","Voluntary core (un-earmarked) contributions","R02",967132000
2010,"UNDP","Voluntary non-core (earmarked) contributions","R03",4311322000
2010,"UNEP","Assessed contributions","R01",220982969
2010,"UNEP","Revenue from other activities","R04",0
2010,"UNEP","Voluntary core (un-earmarked) contributions","R02",0
2010,"UNEP","Voluntary non-core (earmarked) contributions","R03",174128745
2010,"UNESCO","Assessed contributions","R01",377289657
2010,"UNESCO","Revenue from other activities","R04",64535367
2010,"UNESCO","Voluntary non-core (earmarked) contributions","R03",322778316
2010,"UNFPA","Revenue from other activities","R04",34900000
2010,"UNFPA","Voluntary core (un-earmarked) contributions","R02",498100000
2010,"UNFPA","Voluntary non-core (earmarked) contributions","R03",357232000
2010,"UNHABITAT","Revenue from other activities","R04",4062000
2010,"UNHABITAT","Voluntary core (un-earmarked) contributions","R02",28320193
2010,"UNHABITAT","Voluntary non-core (earmarked) contributions","R03",165934162
2010,"UNHCR","Assessed contributions","R01",39640800
2010,"UNHCR","Revenue from other activities","R04",6561219.15
2010,"UNHCR","Voluntary core (un-earmarked) contributions","R02",343293498.5
2010,"UNHCR","Voluntary non-core (earmarked) contributions","R03",1520538785
2010,"UNICEF","Revenue from other activities","R04",388695000
2010,"UNICEF","Voluntary core (un-earmarked) contributions","R02",557330000
2010,"UNICEF","Voluntary non-core (earmarked) contributions","R03",2717726000
2010,"UNIDO","Assessed contributions","R01",102896934.8
2010,"UNIDO","Revenue from other activities","R04",3996130.05
2010,"UNIDO","Voluntary non-core (earmarked) contributions","R03",228546250.8
2010,"UNITAR","Assessed contributions","R01",0
2010,"UNITAR","Revenue from other activities","R04",1355145.27
2010,"UNITAR","Voluntary core (un-earmarked) contributions","R02",307365.1
2010,"UNITAR","Voluntary non-core (earmarked) contributions","R03",19265816.07
2010,"UNODC","Revenue from other activities","R04",5554967
2010,"UNODC","Voluntary core (un-earmarked) contributions","R02",16115234
2010,"UNODC","Voluntary non-core (earmarked) contributions","R03",237693616
2010,"UNOPS","Revenue from other activities","R04",90503201
2010,"UNRWA","Revenue from other activities","R04",17768000
2010,"UNRWA","Voluntary core (un-earmarked) contributions","R02",378137753
2010,"UNRWA","Voluntary non-core (earmarked) contributions","R03",12757064
2010,"UNU","Revenue from other activities","R04",24426000
2010,"UNU","Voluntary non-core (earmarked) contributions","R03",37039000
2010,"UNWTO","Assessed contributions","R01",15982977.39
